"user.key";"datetime";"meter.reading";"diff"
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 15:13:03";92254;333
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 06:13:03";91921;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 05:13:03";91920;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 04:13:03";91920;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 03:13:03";91920;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 02:13:03";91919;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 01:13:03";91919;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"30/03/2015 00:13:03";91918;31
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 23:13:03";91887;21
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 22:13:03";91866;9
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 21:13:03";91857;34
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 20:13:03";91823;9
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 19:13:03";91814;4
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 18:13:02";91810;16
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 17:13:02";91794;3
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 16:13:02";91791;2
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 15:13:02";91789;2
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 14:30:59";91787;4
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 13:30:59";91783;209
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 12:30:59";91574;287
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 11:30:59";91287;263
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 01:13:07";91024;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"29/03/2015 00:13:07";91023;11
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 23:13:07";91012;8
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 22:13:07";91004;28
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 21:12:54";90976;28
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 20:12:54";90948;10
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 19:12:54";90938;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 18:12:54";90937;9
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 17:13:06";90928;10
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 16:13:06";90918;2
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 15:13:06";90916;23
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 14:13:06";90893;12
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 13:13:05";90881;7
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 12:13:05";90874;115
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 11:13:05";90759;111
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 10:13:05";90648;122
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 09:13:06";90526;23
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 08:13:06";90503;10
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 07:13:06";90493;8
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 06:13:06";90485;6
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 05:13:03";90479;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 04:13:03";90479;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 03:13:03";90478;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 02:13:03";90478;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 01:13:11";90477;13
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"28/03/2015 00:13:11";90464;33
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 23:13:11";90431;90
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 22:13:11";90341;50
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 17:13:07";90291;17
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 16:13:07";90274;4
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 15:13:07";90270;121
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 14:13:07";90149;9
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 13:13:06";90140;2
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 12:13:06";90138;9
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 11:13:06";90129;146
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 10:13:06";89983;90
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 09:13:07";89893;34
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 08:13:07";89859;64
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 07:13:07";89795;9
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 06:13:07";89786;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 05:13:06";89786;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 04:13:06";89786;1
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 03:13:06";89785;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 02:13:06";89785;0
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 01:13:09";89785;19
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"27/03/2015 00:13:09";89766;3
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 23:13:09";89763;49
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 22:13:09";89714;542
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 17:13:09";89172;39
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 16:13:09";89133;28
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 15:13:09";89105;19
"4f7729cf-f0fc-4333-bea7-4ee4aeaaa246";"26/03/2015 14:13:09";89086;20
